id;question;answer_a;answer_b;answer_c;correct_answer
1;Brand;Pataca Vista Cambridgeshire;incremental Accounts;complexity Glen;Plastic HDD Granite
2;Investment Account protocol Ergonomic;USB Surinam Dollar;monetize ubiquitous global;Yuan Renminbi Fish;Ergonomic Concrete Chips Fantastic Soft Shoes
3;Response pink;mission-critical utilize;Generic schemas calculate;Buckinghamshire;empowering Representative Checking Account
4;CSS index;web-readiness best-of-breed wireless;Credit Card Account;back up;CSS
5;New York;Lithuanian Litas Executive;payment USB payment;metrics;Electronics 1080p
6;payment asynchronous;Dam Chicken Pound Sterling;Mouse;vortals;program Soap mint green
7;Down-sized Refined functionalities;zero defect;reintermediate;Corporate Adaptive;methodologies Saudi Riyal Engineer
8;Public-key;Tactics;Sudan programming Bedfordshire;Reactive;cyan Clothing
9;Strategist Buckinghamshire Road;Granite;open-source;Bedfordshire payment Multi-layered;Small USB networks
10;navigate;synthesizing;transform;Money Market Account Awesome;auxiliary withdrawal
